Altitude_km,He_density_cm3,O_density_cm3,N2_density_cm3,O2_density_cm3,Ar_density_cm3,Total_mass_density,H_density_cm3,N_density_cm3,Exospheric_temp_K,Temp_at_altitude_K,density_kg_m3,mass_flow_kg_s
18,14890000000000,0,2.219e+18,5.953e+17,2.654e+16,0.0001365,0,0,1037.18,199.17,0.1365,2.144136986075034
19,12410000000000,0,1.849e+18,4.961e+17,2.212e+16,0.0001138,0,0,1037.18,201.84,0.1138,1.7875662198925923
20,10350000000000,0,1.543e+18,4.138e+17,1.845e+16,9.491e-05,0,0,1037.18,204.87,0.09491,1.4908427937610365
21,8666000000000,0,1.291e+18,3.464e+17,1.545e+16,7.945e-05,0,0,1037.18,207.73,0.07945,1.2479976816385454
22,7279000000000,0,1.085e+18,2.91e+17,1.298e+16,6.674e-05,0,0,1037.18,210.34,0.06674000000000001,1.0483494685029142
23,6134000000000,0,9.141e+17,2.452e+17,1.093e+16,5.624e-05,0,0,1037.18,212.74,0.05624,0.8834158541894498
24,5183000000000,0,7.723e+17,2.072e+17,9238000000000000.0,4.752e-05,0,0,1037.18,214.98,0.04752,0.7464424144929349
25,4389000000000,0,6.54e+17,1.755e+17,7823000000000000.0,4.024e-05,0,0,1037.18,217.1,0.04024,0.6320884419022663
26,3724000000000,0,5.549e+17,1.489e+17,6638000000000000.0,3.414e-05,0,0,1037.18,219.16,0.034140000000000004,0.5362698659677777
27,3165000000000,0,4.716e+17,1.265e+17,5641000000000000.0,2.901e-05,0,0,1037.18,221.22,0.029009999999999998,0.4556880144031995
28,2693000000000,0,4.013e+17,1.076e+17,4800000000000000.0,2.469e-05,0,0,1037.18,223.35,0.02469,0.38782961308566
29,2294000000000,0,3.418e+17,9.169e+16,4088000000000000.0,2.103e-05,0,0,1037.18,225.61,0.02103,0.3303384675249668
30,1955000000000,0,2.913e+17,7.816e+16,3485000000000000.0,1.793e-05,0,0,1037.18,228.08,0.017929999999999998,0.281643781394325
31,1668000000000,0,2.485e+17,6.667e+16,2972000000000000.0,1.529e-05,0,0,1037.18,230.84,0.015290000000000002,0.24017475836693972
32,1423000000000,0,2.121e+17,5.689e+16,2536000000000000.0,1.305e-05,0,0,1037.18,233.98,0.01305,0.20498892064673402
33,1215000000000,0,1.811e+17,4.858e+16,2166000000000000.0,1.114e-05,0,0,1037.18,237.51,0.01114,0.1749867108049515
34,1041000000000,0,1.551e+17,4.16e+16,1855000000000000.0,9.541e-06,0,0,1037.18,240.88,0.009541000000000001,0.1498696775395011
35,894100000000,0,1.332e+17,3.574e+16,1594000000000000.0,8.197e-06,0,0,1037.18,243.99,0.008197,0.12875817490737768
36,770400000000,0,1.148e+17,3.08e+16,1373000000000000.0,7.063e-06,0,0,1037.18,246.86,0.007063,0.11094534456152355
37,665600000000,0,9.919e+16,2.661e+16,1186000000000000.0,6.103e-06,0,0,1037.18,249.48,0.006103,0.09586569982429254
38,576500000000,0,8.591e+16,2.305e+16,1028000000000000.0,5.285e-06,0,0,1037.18,251.86,0.005285000000000001,0.08301658587111031
39,500400000000,0,7.457e+16,2e+16,891900000000000.0,4.588e-06,0,0,1037.18,254.02,0.004588,0.07206813547334986
40,435200000000,0,6.485e+16,1.74e+16,775800000000000.0,3.99e-06,0,0,1037.18,255.98,0.00399,0.06267477343911637
41,379200000000,0,5.651e+16,1.516e+16,675900000000000.0,3.477e-06,0,0,1037.18,257.75,0.003477,0.05461658828265856
42,330900000000,0,4.931e+16,1.323e+16,589800000000000.0,3.034e-06,0,0,1037.18,259.35,0.0030340000000000002,0.04765796055495717
43,289200000000,0,4.309e+16,1.156e+16,515500000000000.0,2.651e-06,0,0,1037.18,260.8,0.002651,0.04164181062333271
44,253000000000,0,3.77e+16,1.012e+16,451000000000000.0,2.32e-06,0,0,1037.18,262.14,0.00232,0.0364424747816416
45,221600000000,0,3.302e+16,8860000000000000.0,395000000000000.0,2.032e-06,0,0,1037.18,263.38,0.0020320000000000004,0.031918581360472306
46,194300000000,0,2.895e+16,7767000000000000.0,346300000000000.0,1.781e-06,0,0,1037.18,264.54,0.001781,0.02797588258021711
47,170500000000,0,2.541e+16,6817000000000000.0,303900000000000.0,1.563e-06,0,0,1037.18,265.58,0.001563,0.024551546587804233
48,149800000000,0,2.233e+16,5990000000000000.0,267100000000000.0,1.374e-06,0,0,1037.18,266.44,0.001374,0.021582741530161882
49,131800000000,0,1.964e+16,5270000000000000.0,235000000000000.0,1.209e-06,0,0,1037.18,267.07,0.001209,0.018990927590950304
50,116100000000,0,1.73e+16,4642000000000000.0,207000000000000.0,1.065e-06,0,0,1037.18,267.42,0.001065,0.01672898088036565
51,102400000000,0,1.527e+16,4095000000000000.0,182600000000000.0,9.392e-07,0,0,1037.18,267.44,0.0009392000000000001,0.01475291910125767
